 ,English,Swedish,French,Italian,German,Spanish,Russian,Romanian,Bulgarian,Macedonian,Finnish,Danish,Icelandic,Turkish,Lithuanian,Czech,Hungarian,Polish,Dutch,Portuguese_European,Portuguese_Brazilian,Chinese,Japanese,Korean
skill_swim_description,Stamina drain when swimming.,,Diminution d'endurance lorsque vous nagez.,,Ausdauerverringerung während des Schwimmens.,Consumo de vigor al nadar.,Расход выносливости при плавании.,,,,,,,"Kondisyon, yüzerken tükenir.",,,,Podczas pływania tracisz kondycję.,Conditieafname bij het zwemmen.,,Consumo de vigor ao nadar.,游泳时耐力消耗,泳いだ時のスタミナの消耗。 ,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
ship_holdfast,Hold fast,Greppa tag,Maintenir,,Festhalten,Agarrarse,Крепкая хватка,,,,,,,Sıkı dur,,,Håll fast,Trzymaj się mocno,Vasthouden,,Fique firme,,身を支える,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
raven_interact,Talk,Prata,Parler,Parla,Sprechen,Hablar,Поговорить,,,,,,,Konuş,,,Beszélgetés,Rozmawiaj,Praten,Falar,Conversar,谈话,話す,대화하기
tutorial_start_topic,Welcome to Valheim,,Bienvenue dans Valheim,Benvenuti a Valheim,Willkommen in Valheim,Te damos la bienvenida a Valheim,Добро пожаловать в Вальхейм,Bine ai venit in Valheim,,,,,Velkomin til Valheims,,,Vítejte ve Valhaimu,Üdvözlünk a Valheimben!,Witaj w Valheim,,Bem-vindo a Valheim,Boas-vindas a Valheim,欢迎来到瓦尔海姆,Valheimへようこそ,Valheim에 오신 것을 환영합니다
tutorial_start_label,Hugin: Tip,,Hugin : conseil,Huginn: dritta,Hugin: Tipp,Hugin: Consejo.,Хугин: совет,,,,,,,,,,Hugin: Tipp,,,Hugin: Dica,Hugin: dica,福金：提示,フギン：ヒント,후긴: 팁
tutorial_start_text,"Start tips: try to interact with things in the environment. Some items like stones, branches and pieces of flint can be collected and used for crafting. 

To open your inventory and crafting screen press $KEY_Inventory.",,"Conseils : essayez d’interagir avec l’environnement. Certains matériaux, tels que des pierres, des branches et des morceaux de silex peuvent être récupérés et utilisés pour fabriquer des objets.

Pour ouvrir votre écran d’inventaire et d’artisanat, appuyez sur $KEY_Inventory.","Suggerimento iniziale: cerca di interagire con le cose nell'ambiente. Alcuni oggetti come pietre, rami e pezzi di selce possono essere raccolti e utilizzati per la lavorazione.

Per aprire il tuo inventario e la schermata di creazione, premi TAB.","Start Tipps: Versuch mit Dingen in der Welt zu interagieren. Manche Objekte, wie Steine, Äste und Feuerstein können gesammelt und fürs Crafting verwendet werden.

Drücke TAB um dein Inventar zu öffnen.","Consejos: Intenta interactuar con el entorno. Podrás recoger algunos objetos como las piedras, las ramas o los fragmentos de sílex para elaborar objetos. 

Pulsa $KEY_Inventory para abrir el inventario y la pantalla de elaboración.","Совет: с предметами вокруг можно взаимодействовать. Некоторые из них, например, камни, палки и кремень можно собрать и использовать при создании новых предметов. 

Для того, чтобы открыть инвентарь, нажмите кнопку $KEY_Inventory.","Sfaturi pentru inceput: incearca sa interactionezi cu lucrurile din jurul tau. Unele iteme precum pietre, crengi sau bucati de metal pot fi adunate si folosite in constructii si obiecte.

Pentru a deschide inventarul si ecranul de constructie apasa TAB.",,,,,Byrjunar ábending: Skoðaðu umhvefið vel. Sumir hlutir eins og steinar og greinar er hægt að taka upp og notað í smíði Ýtið á TAB til að fara yfir hluti sem þú átt og hvað þú getur gert við þá,,,"Tipy do začátku: Zkuste interagovat s objekty ve vašem okolí. Některé objekty jako například kameny, větve nebo kousky křemene se dají sebrat a dále použít k výrobě předmětů.

Inventář a crafting menu otevřete stisknutím $KEY_Inventory.","Kezdő tippek: próbáld meg használni a környezetben található dolgokat! Néhány tárgy, mint a kövek, ágak és tűzkő darabok felvehetők, és felhasználhatók a barkácsoláshoz.
 
 A leltárad és a barkácsolás képernyő megnyitásához nyomj $KEY_Inventory-t!","Początkowe rady: próbuj oddziaływać na rzeczy wokół swojego otoczenia. Niektóre przedmioty takie jak kamienie, gałęzie i kawałki krzemieni można podnieść i użyć do tworzenia.

Aby otworzyć ekwipunek i okno tworzenia, naciśnij TAB.",,"Dicas iniciais: tenta interagir com coisas no ambiente. Certos objetos, tais como pedras, ramos e pedaços de sílex, podem ser apanhados e usados para fabricar. 

Para abrires o teu ecrã de inventário e fabrico, prime $KEY_Inventory.","Dicas iniciais: interaja com os objetos no ambiente. Alguns itens, como pedras, galhos e fragmentos de sílex podem ser coletados e usados para produção. 

Para abrir o seu inventário e a tela de produção, pressione $KEY_Inventory.","开始提示：请试着与环境中的各种事物交互。 某些物品，如石头、树枝、燧石块等，可以收集并用于制作。 

要打开物品栏和制作界面，请按$KEY_Inventory。 ","始まりのヒント：周囲にある様々なものを調べてみよう。 石や枝、火打石のかけらなどは、拾い集めればアイテムの材料として使える。 

インベントリーと作成画面を開くには $KEY_Inventory を押そう。 ","시작 팁: 환경에 있는 사물을 사용해 보세요. 돌, 나뭇가지, 부싯돌 등은 수집 후 제작에 사용할 수 있습니다. 

소지품과 제작 화면을 열려면 $KEY_Inventory 키를 누르세요."
tutorial_stemple1_label,Hugin: Welcome,,Hugin : Bienvenue,,Hugin: Willkommen,Hugin: Bienvenida,Хугин: добро пожаловать,,,,,,,Hugin: Karşılama,,,,Hugin: Powitanie,Hugin: Welkom,,Hugin: boas-vindas,福金：欢迎,フギン：歓迎,
tutorial_stemple1_topic,"Welcome to the 10th World, warrior",,"Bienvenue dans le 10e monde, guerrier",,"Willkommen in der 10. Welt, Krieger",Te doy la bienvenida al décimo mundo,"Добро пожаловать в 10-й мир, воин",,,,,,,10. Dünya'ya hoş geldin savaşçı,,,,"Witaj w Dziesiątym świecie, wojowniku","Welkom in de tiende wereld, krijger",,"Boas-vindas ao 10º mundo, combatente",欢迎来到第十大神界，勇士,第10世界へようこそ、戦士よ,
tutorial_stemple1_text,"I am Hugin, sent here to guide you in your travels.

The megaliths surrounding you are the Sacrificial Stones. They represent the Forsaken, which you must slay in order to ascend to Valhalla.",,"Je suis Hugin, on m'a envoyé ici pour vous guider lors de vos voyages.

Les mégalithes qui vous entourent sont les Pierres sacrificielles. Elles représentent les Déchus que vous devez tuer afin d'accéder au Valhalla.",,"Ich bin Hugin. Und ich wurde an diesen Ort gesendet, um dich zu führen.

Die dich umgebenden Megalithen, sind Opfersteine. Sie repräsentieren all die Wächter, die du bezwingen musst, um dich Walhallas würdig zu erweisen.","Soy Hugin, y mi deber es guiarte en tus viajes.

Los megalitos que te rodean son las piedras de sacrificio, y son la representación de los Desterrados. Debes acabar con ellos para ascender al Valhalla.","Я Хугин, послан сюда, дабы сопровождать вас в ваших путешествиях.

Мегалиты, окружающие вас, — это жертвенные камни. Они олицетворяют павших, которых вы должны убить, чтобы попасть в Вальгаллу.",,,,,,,"Benim adım Hugin ve buraya yolculuğunda rehberlik etmek için gönderildim.

Etrafını çevreleyen anıttaşların ismi Kurban Taşları. Bu taşlar, Valhalla'ya yükselmek için öldürmen gereken Yitikler'i simgeliyorlar.",,,,"Jestem Hugin, wysłany tu, by przewodzić ci w twych podróżach.

Otaczające cię megality to Kamienie Ofiarne. Reprezentują Porzuconych, których musisz zabić, aby dostać się do Walhalli.","Ik ben Hugin, en ik zal deze reis je gids zijn.

De megalieten die je om je heen ziet zijn de Offerstenen. Ze stellen de Verlatenen voor, die je moet verslaan om naar Walhalla te worden verheven.",,"Eu sou Hugin, e estou aqui para orientar você em suas jornadas.

Os monumentos megalíticos ao seu redor são pedras de sacrifício, e representam os Guardiões que precisam ser eliminados, se você quiser alcançar o Valhalla.","我是福金，我被派来做你的向导。 

这些包围着你的巨石是献祭石。 
他们代表着被遗忘者们，你必须要按顺序击杀他们以获得升入瓦尔哈拉的机会。 ","私はフギン。 あなたの旅の案内をするために送り込まれた。 

まわりの巨石は犠牲の石だ。 この見捨てられしものを表している。 ヴァルハラに昇るために殺さなければならない相手だ。 ",
tutorial_stemple2_label,Hugin: Vegvisirs,,Hugin : Vegvisirs,,Hungin: Vegvisir,Hugin: Vegvísires,Хугин: Вегвизир,,,,,,,Hugin: Vegvisirler,,,,Hugin: Vegvisiry,Hugin: Vegvisirs,,Hugin: Vegvisirs,福金：指南石,フギン：ヴェグヴィシル,
tutorial_stemple2_topic,This stone is a Vegvisir,,Cette pierre est un Vegvisir,,Der Stein ist ein Vegvisir,Esta piedra es un Vegvísir,Этот камень — Вегвизир,,,,,,,Bu taş bir Vegvisir,,,,Ten kamień nazywa się Vegvisir,Deze steen is een Vegvisir,,Esta pedra é um Vegvisir,这块石碑是指南石,この石はヴェグヴィシルだ,
tutorial_stemple2_text,"These magical stones were scattered throughout the lands by Odin as signposts pointing toward the ritual grounds of the Forsaken.

If inspected closer, this one will reveal the summoning place of Eikthyr, your <color=yellow>first prey</color>. He is a mighty beast, so you need to properly arm yourself before even attempting to defeat him.",,"Ces pierres magiques ont été éparpillées dans le monde par Odin pour servir de repères et mener aux terres rituelles du Déchu.

Si on l'examine avec attention, celle-ci dévoilera le lieu d'invocation d'Eikthyr, votre <color=yellow>première proie</color>. C'est une bête redoutable, alors préparez-vous en conséquence avant d'essayer de le vaincre.",,"Diese magischen Steine wurden durch Odin über die Ländereien verstreut, um als Markierungen für den Ritualboden von Wächtern zu fungieren.

Wenn dieser Stein hier genauer untersucht wird, gibt er den Beschwörungsort von Eikthyr preis, deiner <color=yellow>ersten Beute</color>. Da diese Bestie überaus mächtig ist, solltest du dich zunächst entsprechend bewaffnen, bevor du auch nur daran denkst, dich ihr zu stellen.","Son piedras mágicas que repartió Odín por estas tierras y que sirven de indicadores para señalar los lugares en los que están las tierras rituales de los Desterrados.

Si la miras con atención, esta te revelará el lugar de invocación de Eikthyr, tu <color=yellow>primera presa</color>. Es una bestia muy poderosa, por lo que tendrás que equiparte en condiciones antes de plantarle cara.","Один повсюду разбросал эти магические камни в качестве указателей на пути к павшим.

Если присмотреться, этот камень откроет место призыва Эйктюра, вашей <color=yellow>первой жертвы</color>. Вам нужно хорошо вооружиться, прежде чем пытаться победить это могучее чудище.",,,,,,,"Bu büyülü taşlar, Odin tarafından diyarın dört bir köşesine dağıtılmıştır ve Yitikler'in ayin bölgelerini gösteren tabela görevi görürler.

Yakından incelendiğinde bu taş, <color=yellow>ilk avın</color> Eikthyr'in çağrı yerinin konumunu gösterir. Eikthyr güçlü bir yaratık olduğu için onu alt etmeye kalkışmadan önce düzgün şekilde silahlanmalısın.",,,,"Te magiczne kamienie zostały rozrzucone po krainach przez Odyna jako drogowskazy wskazujące rytualne tereny Porzuconych.

Przy bliższym spojrzeniu ujawni on miejsce wezwania Eikthyra, twojej <color=yellow>pierwszej ofiary</color>. To potężna bestia, więc uzbrój się odpowiednio, by móc go pokonać.","Deze magische stenen zijn door Odin door het land verspreid om dienst te doen als wegwijzers, die je wijzen naar de rituele grond van de Verlatenen.

Bij nadere inspectie zal deze de oproepplek onthullen van Eikthyr, je <color=yellow>eerste prooi</color>. Hij is een machtig beest, dus je zult je goed moeten bewapenen voor je zelfs maar poogt hem te verslaan.",,"Essas pedras mágicas foram espalhadas pela terra por Odin como uma forma de indicar os territórios ritualísticos dos Guardiões.

Observe de perto para identificar o local de invocação de Eikthyr, sua <color=yellow>primeira presa</color>. Trata-se de uma fera poderosa, e você vai precisar se armar adequadamente antes de sequer tentar derrotá-lo.","奥丁把这些魔石撒落在了这篇土地上。 作为指南石指引着召唤被遗忘者们的祭坛的前路。 

如果靠近观察，这块指南石会显示召唤赤血灵鹿的位置，你的 <color=yellow>第一个任务</color>。 他是一头无敌的神兽，在尝试击败他之前你必须你必须正式装备好你自己。 ","これらの魔法の石は、見捨てられしものの儀式の場所を示す目印として、オーディンが各地にばらまいたものだ。 

よく見ると、これはエイクスュルを召喚する場所を表していることがわかる。 あなたの<color=yellow>最初の獲物</color>だ。 彼は強い獣だ。 倒そうと思うなら、まず正しく武装する必要がある。 ",
NOT USED tutorial_stemple3_label,,,,,,,,,,,,,,,,,,,,,,,,
NOT USED tutorial_stemple3_text,,,,,"Die Vegvisir-Steine sind alte Markierungen, die über das ganze Land verstreut sind. Odin errichtete sie als Wegweiser zu den Siegeln, die die Wächter gefangen halten.

Dieser hier enthüllt den Beschwörungsort von Eikthyr, dem Wächter der Wiesen, und Dein <color = yellow>erstes Opfer</color>.",,,,,,,,,,,,,,,,,,,
tutorial_stemple4_label,Hugin: Eikthyr defeated,,Hugin : Eikthyr vaincu,,Hugin: Eikthyr besiegt,Hugin: Eikthyr ha caído,Хугин: Эйктюр повержен,,,,,,,Hugin: Eikthyr yenildi,,,,Hugin: Eikthyr został pokonany,Hugin: Eikthyr verslagen,,Hugin: Eikthyr derrotado,福金：赤血灵鹿已被击败,フギン：エイクスュルが倒れた,
tutorial_stemple4_topic,Odin is pleased,,Odin est satisfait,,Odin ist erfreut,Odín parece satisfecho,Один доволен,,,,,,,Odin hoşnut oldu,,,,Odyn jest zadowolony,Odin is verheugd,,Odin está satisfeito,奥丁很满意,オーディンは喜んでいる,
tutorial_stemple4_text,"You have been granted the power of Eikthyr, use it in times of need.

Your next target dwells in the Black forest. Go there, explore the lands, and uncover their lost treasures and resources.

The Elder awaits!",,"Vous avez obtenu le pouvoir d'Eikthyr, utilisez-le à bon escient.

Votre prochaine cible vit dans la Forêt noire. Allez-y, explorez ces terres et découvrez ses trésors perdus et ses ressources enfouis.

L'Aîné vous attend !",,"Dir wurde die Kraft von Eikthyr gewährt. Verwende sie, wenn du sie brauchst.

Dein nächstes Ziel befindet sich im Dunkelwald. Begib dich dorthin, erkunde das Gebiet und birg die dort befindlichen verlorenen Schätze und Rohstoffe.

Der Uralte erwartet dich!","Has recibido el poder de Eikthyr, así que no dudes en usarlo cuando las cosas se pongan feas.

Tu próxima víctima mora en el Bosque negro. Parte hacia allí, explora las tierras y descubre los tesoros y bienes perdidos.

¡El Sabio te espera!","Вам дарована сила Эйктюра, используйте ее при необходимости.

Ваша следующая цель обитает в Черном лесу. Идите туда, исследуйте земли, чтобы найти затерянные сокровища и ресурсы.

Древний ждет!",,,,,,,"Sana Eikthyr'in gücü bahşedildi, ihtiyacın olduğu zaman bu gücü kullan.

Sonraki hedefin, Kara Orman'da yaşıyor. Oraya git, toprakları keşfet ve kayıp hazine ve kaynaklarını ortaya çıkar.

Atabey bekliyor!",,,,"Otrzymujesz moc Eikthyra, którą możesz użyć w potrzebie.

Twój następny cel żyje w Czarnym lesie. Udaj się tam, eksploruj ziemie i odkryj ich zagubione skarby i zasoby.

Starzec czeka na ciebie!","Je hebt de kracht van Eikthyr gekregen, gebruik die in tijden van nood.

Je volgende doelwit vind je in het zwarte bos. Ga erheen, verken het gebied en ontdekt de verloren schatten en hulpbronnen.

De Oudere wacht op je!",,"Você recebeu o poder de Eikthyr, use-o em momentos de necessidade.

Seu próximo alvo vive na Floresta Negra. Vá até lá, explore o local e encontre tesouros e recursos perdidos.

O Ancião está à espera!","你获得了赤血灵鹿的力量，请在你需要的时候使用。 

你的下一个目标会在黑暗林山里。 去那里探索并发现被遗忘的宝物和资源吧。 

古树长老正在等你！","あなたはエイクスュルの力を授けられた。 必要な時に使うといい。 

次の目標は黒い森にある。 そこに行き、あたりを探索し、失われた宝と資源を見つけるのだ。 

長老が待っている！",
tutorial_death_label,Hugin: Death,,Hugin : Mort,,Hugin: Tod,Hugin: Muerte,Хугин: смерть,,,,,,,Hugin: Ölüm,,,,Hugin: Śmierć,Hugin: Dood,,Hugin: morte,福金：死亡,フギン：死,
tutorial_death_topic,You suffered a mortal blow!,,La mort,Morte,"Aufstehen! Du bist noch nicht fertig, Krieger …",¡Te has llevado un golpe mortal!,Вам нанесен смертельный удар!,Moarte,,,,,Dauði,Ölümcül bir darbe aldın!,,Smrt,Halál,Śmierć,Je hebt een dodelijke klap opgelopen!,,Você sofreu um golpe fatal!,你遭到了致命的攻击！,死の一撃をくらった！,
tutorial_death_text,"Each time you are struck down, you will <color=yellow"">forget a small part of your abilities and drop your belongings</color> at the site of the accident.

If you wish you were home by now I'd recommend <color=yellow"">building a bed</color>, wherever home may be.",,"Vous êtes mort!

Vous allez réapparaitre à votre point d'apparition actuel. Si vous n'en avez pas défini un, vous réapparaissez à votre point de départ.

Lorsque vous mourrez, vos possessions sont stockées dans une pierre tombale au moment de votre mort. Un crâne sur la carte marque l’emplacement de votre dernière mort.","Sei morto!

Rinascerai al punto di spawn attuale. Se non ne hai impostato uno, ti rigenererai nella posizione iniziale.

Quando muori, il tuo equipaggiamento sarà conservato in una lapide al punto di morte. Un teschio sulla mappa indica la posizione del tuo ultimo punto di morte.","Jedes Mal, wenn du niedergestreckt wirst, <color=yellow"">vergisst du einen kleinen Teil deiner Fertigkeiten und du lässt deinen Besitz fallen</color>, an dem Ort, an dem dich der Tod umarmt hat.

Wenn du dir inzwischen wünschen solltest, wieder zu Hause zu sein, dann empfehle ich dir, dort ein <color=yellow"">Bett zu bauen</color>, wo auch immer du dich nun zu Hause fühlst.","Cada vez que te derroten, <color=yellow"">olvidarás una pequeña parte de tus habilidades y tus pertenencias se quedarán</color> en el lugar del accidente.

Si desearías estar en casa ahora mismo, te recomiendo que <color=yellow"">construyas una cama</color>, esté donde esté tu hogar.","Каждый раз, когда вы повержены, <color=yellow"">небольшая часть ваших способностей и вещей будет потеряна</color> на месте.

Если вы хотите перемещаться домой из любой точки, я бы порекомендовал <color=yellow"">построить кровать</color>.","Ai murit!

Vei reaparea la punctul de spawnare pe care l-ai setat. Daca nu ai setat unul, atunci te vei spawna la locatia de start.

Cand mori obiectele tale sunt adunate intr-un mormant. Un craniu pe harta arata locul unei ai murit ultima data.",,,,,Þú drapst Þú munt lifna við aftur á þínum síðasta vistaða tilkomu stað. Ef þú hefur ekki gert það en munt þú lifna við á byrjunarstað í þessum heimi. Þegar þú deyrð mun allar þínar eignir vera geymdar í legsteinum þar sem þú dóst. Höfuðkúpa mun einnig birtast á korti þínu yfir dánarstaðnum.,"Her öldüğünde, <color=yellow"">yeteneklerinin küçük bir kısmını unutacak ve kazanın yaşandığı yerde eşyalarını düşüreceksin</color>.

Keşke evde olsaydım diyorsan da evinin olmasını istediğin yere <color=yellow"">bir yatak inşa etmeni</color> önerebilirim.",,"Zemřeli jste!

Znovu se objevíte na vašem aktuálním spawn pointu. Pokud jste si žádný nenastavili, spawnete se ve startovní lokaci.

Když zemřete, všechny vaše věci zůstanou uschovány v náhrobku, který se vytvoří na místě vaší smrti. Lebka na mapě vám pomůže najít cestu k místu, kde jste naposledy zemřeli.","Meghaltál!
 
Az aktuálisan beállított feltámadási pontnál fogsz magadhoz térni. Ha még nem állítottál be egyet sem, a kezdőponton támadsz fel.
 
Amikor meghalsz, az összes holmid a halálod helyén, egy sírkőben kerül eltárolásra. Egy koponya jelzi a térképeden, ahol legutóbb meghaltál.","Umierasz!

Odrodzisz się w aktualnym miejscu odradzania. Jeżeli nie posiadasz ustawionego miejsca, odrodzisz się w początkowej lokalizacji.

Kiedy umrzesz, twoja zdobycz zostanie umiejscowiona w nagrobku w miejscu twojej śmierci. Czaszka na mapie pokazuje ostatnie miejsce twojej śmierci.","Iedere keer dat je het leven laat, <color=yellow"">vergeet je een klein deel van wat je kunt, en laat je je bezittingen vallen</color> op de plek waar je sneuvelde.

Als je nu liever thuis was geweest, stel ik voor dat je <color=yellow"">een bed bouwt</color>, waar je thuis ook mag zijn.",,"Sempre que você cai em combate, <color=yellow"">esquece uma pequena parte de suas habilidades e deixa seus pertences</color> no local do incidente.

Se o que você gostaria é de estar em casa agora, recomendo <color=yellow"">construir uma cama</color>, onde quer que seja o seu lar.","每一次你被击倒, 你都会在你阵亡的地方<color=yellow"">丢失你的物品和忘记一小部分技能</color> 。 

如果你希望自己现在在家醒来那我建议你<color=yellow"">造一张床</color>, 因为床在哪里，家就在哪里。 ","あなたは倒れるたびに<color=yellow"">能力のわずかな一部を忘れ、持ち物を</color>事故の起きた場所に落とす。 

家に戻りたいと望むなら、家となる場所に<color=yellow"">ベッドを作るのだ</color>。 ",
tutorial_inventory_label,Hugin: Inventory,,Hugin : Inventaire,,Hugin: Inventar,Hugin: Inventario,Хугин: Инвентарь,,,,,,,Hugin: Envanter,,,,Hugin: Ekwipunek,Hugin: Inventaris,,Hugin: inventário,福金：物品栏,フギン：インベントリー,
tutorial_inventory_topic,Take stock of your inventory,,Inventaire,Inventario,Was ist in deinen Taschen?,Revisa tu inventario,Проверьте свой инвентарь,Inventar,,,,,Eignarskrá,Envanter Yapmak,,Inventář,Leltár,Ekwipunek,Inventariseer,,Atenção ao seu inventário,清点你的物品栏,インベントリーの物を把握せよ,
tutorial_inventory_text,"Most items must be crafted. However, due to your recent departure from Midgard, you will have to recall the true shape of objects. Just pick things up and it will all come back to you, I'm sure.

My lesser brother, Munin, tells me one can fashion a Stone Axe out of <color=yellow>Wood and Stone</color>.",,"Ceci est l'écran d'inventaire et de création. Les nouvelles recettes seront déverrouillées une fois que vous aurez tous les ingrédients nécessaires pour les fabriquer.

Essayez de fabriquer un club en bois ou une hache en bois et en pierre.

Astuce: le silex se trouve près de l'eau.","Questa è la schermata di inventario e lavorazione. Le nuove ricette saranno sbloccate una volta che avrai tutti gli ingredienti necessari per realizzarle.

Prova a creare una mazza con del legno o un'ascia con pietra e legno.

Suggerimento: la selce può essere trovata vicino all'acqua.","Die meisten Objekte müssen hergestellt werden. Da du Midgard allerdings kürzlich verlassen hast, musst du dich an die wahre Form von Objekten zunächst erneut erinnern. Hebe einfach alles auf, was du findest, und es fällt dir schon wieder ein.

Mein kleiner Bruder, Munin, sagt mir, dass sich mithilfe von <color=yellow>Holz und Stein</color> eine Steinaxt herstellen lässt.","La mayoría de los objetos han de fabricarse. Sin embargo, como acabas de dejar Midgard, aún has de recordar la verdadera forma de muchos de ellos. No me cabe duda de que irás recuperando la memoria a medida que recojas cosas.

Mi hermano pequeño, Munin, me ha dicho que puedes hacer un hacha de piedra con <color=yellow>madera y piedra</color>.","Большинство предметов необходимо создавать. Так как вы только недавно покинули Мидгард, вам придется вспоминать истинную форму вещей. Просто собирайте все предметы, и я уверен, что все вспомнится.

Мой младший брат Мунин сказал мне, что можно сделать каменный топор из <color=yellow>древесины и камня</color>.",,,,,,"Þetta er eignarskráin þín og verkstöð. Nýjar uppskriftir munu birtast þegar þú safnar hlutum í hana.

Prufaðu að smíða kylfu úr við eða öxi úr stein og við.

Ábending: Hægt er að finna tinnustein nálægt vatni","Çoğu eşya önce üretilmelidir fakat yakın zamanda Midgard'dan göçtüğün için, nesnelerin gerçek şeklini hatırlaman gerekiyor. Eminim nesneleri aldığında her şey eski hâline dönecektir.

Küçük kardeşim Munin'in dediğine göre <color=yellow>Ahşap ve Taş</color> kullanarak Taş Balta üretilebiliyormuş.",,"Toto je inventář a crafting menu. Nové recepty pro crafting se vám odemknou, jakmile budete mít všechny potřebné suroviny pro vytvoření daného předmětu.

Vyzkoušejte si například vyrobit kyj za pomocí dřeva, nebo kamenou sekeru za pomocí dřeva a kamene.

Tip: Křemen můžete najít poblíž vody.","Ez a leltár és barkácsolási képernyő. Az új receptek akkor válnak elérhetővé, amikor az összes szükséges alapanyaggal rendelkezel hozzájuk.
 
 Próbálj meg készíteni egy bunkósbotot némi fából, vagy egy kőbaltát fából és kőből!
 
 Tipp: kovakövet a víz mellett találod.","To jest okno ekwipunku i tworzenia. Nowe przepisy będą odblokowane po zdobyciu odpowiednich przedmiotów do ich wytworzenia.

Spróbuj wytworzyć maczugę z drewna lub topór z drewna i kamienia.

Porada: krzemień można znaleźć w pobliżu wody.","De meeste items zul je zelf moeten maken. Vanwege je recente vertrek uit Midgard zul je echter de herinnering aan de ware vorm van objecten moeten terughalen. Pak dingen op, dan komt het wel weer bij je bovendrijven.

Mijn mindere broer Munin heeft me verteld dat je een stenen bijl kunt maken met <color=yellow>hout en steen</color>.",,"A maioria dos itens precisa ser fabricada. No entanto, devido à sua partida recente de Midgard, você terá que relembrar a verdadeira forma dos objetos. Basta pegar as coisas e tenho certeza de que logo sua memória voltará.

Meu irmão menor, Munin, disse que você pode usar <color=yellow>madeira e pedra</color> para criar um machado de pedra.","大部分的物品都需要手工制作才能获得。 但结合你刚刚离开人界的事实，你将会面临必须要回忆起世间各种物品的真实形态。 不过只要你一直坚持拾取各种物品，你对世间万物的记忆便会慢慢回来。 

我弟弟雾尼曾经跟我说过，人们可以用<color=yellow>木材和石头</color>.做成一把石斧。 ","ほとんどの物は、作らなければ手に入らない。 しかしあなたはミズガルズから旅立ったばかり。 物の本当の形を思い出さなければならない。 何かを手に取れば、すぐに思い出すはずだ。 

弟のムニンの話では、<color=yellow>木と石</color>から石の斧を作れるということだ。 ",
tutorial_weight_label,Hugin: Encumberance,,Hugin : Encombrement,,Hugin: Beladen,Hugin: Sobrecarga,Хугин: нагруженность,,,,,,,Hugin: Aşırı Yük,,,,Hugin: Obciążenie,Hugin: Overbelast,,Hugin: sobrecarga,福金：超重,フギン：重量超過,
tutorial_weight_topic,You need to lighten your load!,,Vous devez alléger votre fardeau !,,Du musst weniger Gegenstände mit dir herumtragen!,¡Tienes que aligerar un poco la carga!,Вам нужно облегчить свою ношу!,,,,,,,Yükünü hafifletmen gerekiyor!,,,,Musisz zmniejszyć ciężar swojego ekwipunku!,Je moet niet zo veel willen meenemen!,,Você precisa pegar leve!,你需要减轻你的负担！,荷物を軽くするのだ！,
tutorial_weight_text,"If you carry too much luggage you will become encumbered, slowing you down and preventing you from regaining your stamina.",,"Si vous transportez trop de choses, vous subirez de l'encombrement, ce qui vous ralentira et vous empêchera de récupérer de l'endurance.",,"Wenn du zu viele Gegenstände mit dir führst, wirst du beladen, wodurch du langsamer wirst und an Ausdauer verlierst.","Si llevas demasiado equipaje, tendrás una sobrecarga, por lo que te moverás más despacio y no podrás recuperar vigor.","Если вы возьмете с собой слишком много вещей, вы станете нагруженным, что замедлит вашу работу и снизит восстановление выносливости.",,,,,,,"Çok fazla eşya taşıdığında aşırı yükten etkilenirsin, hızın yavaşlar ve kondisyonunu geri kazanman engellenir.",,,,"Zbyt duży ekwipunek obciąża cię, co spowalnia cię i uniemożliwia odzyskanie kondycji.","Als je te veel bagage hebt, raak je overbelast, waardoor je langzamer wordt. Ook voorkomt het dat je je conditie weer terugkrijgt.",,"Se você carregar muita bagagem, sofrerá com sobrecarga, reduzindo sua velocidade e a sua velocidade de regeneração de vigor.",如果你携带太多的东西你会变得迟缓，这会降低你的移动速度并让你的耐力值无法恢复。 ,運んでいる荷物が多すぎると重荷となり、歩く速度が遅くなるうえ、スタミナがなかなか回復しなくなる。 ,
tutorial_cold_label,Hugin: Cold,,Hugin : Froid,,Hugin: Gold,Hugin: Frío,Хугин: холод,,,,,,,Hugin: Soğuk,,,,Hugin: Chłód,Hugin: Kou,,Hugin: frio,福金：寒冷,フギン：寒さ,
tutorial_cold_topic,Be wary of the weather,,Vous avez froid,Hai freddo,Du scheinst zu zittern …,Ten cuidado con el clima,Следите за погодой,Iti este frig,,,,,Þér er kalt,Hava koşullarına dikkat et,,Je ti zima,Fázol,Uważaj na warunki pogodowe,Hoed je voor de winter,,Desconfie do tempo,注意天气,天候に気をつけよ,
